id,monster_name,normal_drop,rare_drop,trivia_1,trivia_2,source_filename
1045,獄氷鬼フィルグレア,,,氷晶の聖塔の守護者が邪悪なる意志によって操られ神の器を探す解放者の前にふたたび立ちはだかった。,花の神ピナヘトの加護を失い邪念に囚われ 暴走した守護者を 解き放ったのは解放者と呼ばれた者だった。,1045.webp
1046,獄闇鬼ティトス,,,冥闇の聖塔の守護者が邪悪なる意志によって操られ神の器を探す解放者の前にふたたび立ちはだかった。,土の神ワギの加護を失い邪念に囚われ 暴走した守護者を 解き放ったのは解放者と呼ばれた者だった。,1046.webp
1047,獄水鬼ヴァーテル,,,天水の聖塔の守護者が邪悪なる意志によって操られ神の器を探す解放者の前にふたたび立ちはだかった。,水の神マリーヌの加護を失い邪念に囚われ 暴走した守護者を 解き放ったのは解放者と呼ばれた者だった。,1047.webp
1048,獄嵐鬼ウェンリル,,,翠嵐の聖塔の守護者が邪悪なる意志によって操られ神の器を探す解放者の前にふたたび立ちはだかった。,風の神エルドナの加護を失い邪念に囚われ 暴走した守護者を 解き放ったのは解放者と呼ばれた者だった。,1048.webp
1049,暴竜ドマノ,,,ナドラガ大神殿の地下で看守を務めていたドマノが竜化した姿。彼のブレスは様々な拷問に利用された。,アペカの村からエジャルナへ出稼ぎに行く道で魔物に襲われ仲間にも見捨てられた彼を助けたのはアンテロだった。,1049.webp
1050,暴竜ロマニ,,,ナドラガ大神殿の地下で看守を務めていたロマニが竜化した姿。処刑用のオノを大胆に扱う。,かつては井戸掘りという炎の領界で最も危険な仕事に就いていたがナダイアに救われ直属の部下となった。,1050.webp
1051,逆乱の竜ナダイア,,,邪悪なる意志を名乗るナダイアが竜化した姿。ただひとつの信念がひとりの竜族をここまで強くしたのだ。,弟アンテロを異世界へ送ることは苦渋の決断だった。帰らなかった弟を思うたび彼の悔恨と覚悟は強くなった。,1051.webp
1052,邪竜教祖オルストフ,,,総主教オルストフが竜神の一片である正体を現したおぞましい姿。体内に魔瘴毒を宿している。,ナドラガ神の復活をとげるため気の遠くなるような長い年月竜の民にまじり生きてきた。彼を親と呼ぶ者も大勢いる。,1052.webp
1053,虚空の神ナドラガ,,,創世の女神が生みだした七柱の種族神の長兄。魔瘴を取り込んだことで異形と化した その現身の姿。,かつて空の神と呼ばれた彼が今 虚空の神を名乗るのは母とも兄弟とも道をたがえた孤独な心の現れかもしれない。,1053.webp
1054,邪竜神ナドラガ,,,神たる者はその意思の在り様がそのまま外見に現れるという。巨竜も人型も邪竜の姿もすべてナドラガの意思の発現なのだ。,母なるルティアナの消失が竜神の……そして竜族の悲劇の始まりだった。創世の女神はなにゆえ姿を消したのだろう？,1054.webp
1055,スライムエネルゴン,ホワイトパール,スライムおしゃれ花,紫のほこらに突如現れた美しく光り輝くスライム。謎のエナジーに満ちておりやる気じゅうぶんのようだ。,育みの大地で暮らしていた彼。ちょっと海水浴でもしようとスレア海岸に出かけたときにエナジーのトリコとなった。,1055.webp
1056,異形獣,みがきずな,パープルアイ,突如現れた正体不明の怪物。巨体に似合わぬ機敏さを誇りツノから精神エネルギーを奪う怪光線を放つ。,辺境警備隊のラゴウ隊長により異形獣と命名されたが本当の名前は別にあるらしい。果たしてその正体は……？,1056.webp
1057,フローラルダンディ,,,ラウラリエの丘に広がる花園をナワバリにする乱暴者。強烈なブレスで 花園を荒らすマナーのない敵をこらしめる。,こう見えて割と平和主義者。シャンテの歌声にホレ込んで子守唄を歌ってもらう代わりに花のみつを分け与えていた。,1057.webp
1058,強化異形獣・狂,,,指針監督官ベルマが使役する強化された新種の異形獣。体格が大きく 戦闘能力が大幅に向上している。,特定の主人の命令を聞くよう調整されていたがシャンテの歌声はその設定を打ち消す特別なチカラがあるようだ。,1058.webp
1059,スパーキー,さえずりのみつ,いかずちのたま,黄金の体毛を風になびかせせっせと光り物を集める本能に忠実なトリ。目的のため時には凶暴になることも。,狙ったエモノは逃さない！集めた光り物は100をこえ巣に持ちかえってはひたすら ながめるのが日課。,1059.webp
1060,ポーン,ひかりの石,せいれいせき,メレアーデが チェス盤の上であやつるポーンのコマ。キングを守るために 一生懸命歩を進める けなげな雑兵。,着実に前進し 最後に化ける大器晩成のポーンのコマはクオードのお気に入り。大切にしすぎるのはご愛嬌。,1060.webp
1061,ナイト,ひかりの石,せいれいせき,メレアーデが チェス盤の上であやつるナイトのコマ。対戦相手にボミオスをかけて踏みつける 傍若無人なやつ。,戦場を自由に跳ね回り奇襲を仕掛けるナイトのコマはメレアーデのお気に入り。よくチェックメイトを決める。,1061.webp
1062,キング,ひかりの石,せいれいせき,メレアーデが チェス盤の上であやつるキングのコマ。バギムーチョやマヒャドデスで相手の陣地を荒らしまわる。,キングの守りを固めずについ攻めてしまうためクオードのチェスは弱い。姉との対戦の勝率は3割以下。,1062.webp
1063,影魔レイミリア,,,あでやかな微笑に冷酷さをにじませて 襲いかかってくる謎多き妖女。空中に浮かぶ球をあやつって 攻撃してくる。,謎の幻灯機に宿り 幻影を見せていた。王立アルケミアにくわしい者はレイ ミリアという名に聞き覚えがあるとか……。,1063.webp
1064,ヘルゲゴーグ・烈,みがきずな,レッドアイ,異形獣と呼ばれる怪物はすべて正しくはヘルゲゴーグである。その中でもこいつは特に強化された最上位種に当たる。,ヘルゲゴーグの名付け親はヨンゲ所長だが 彼からすれば異形獣などという呼ばれ方は非常に不本意だっただろう。,1064.webp
1065,自動人形ドミネウス,,,ドミネウス王に化けていた人形が処刑失敗時の混乱の中正体を現した。額の紋章は王家に伝わる秘宝の証。,本体は かなり大柄だが使用者の体格に合わせて自在にサイズを変更できるアジャスト機能を搭載する。,1065.webp
1066,時獄のドミネウス,,,滅びの回避を目的とするドミネウス王が 時見の箱に集めたチカラをその身に宿して変貌をとげた姿。,時獄とは時と時の狭間にあるこの世界から切り離された不思議な空間のことらしい。そこには何があるのだろうか？,1066.webp
1067,魔人王ドミネウス,,,追い詰められたドミネウス王が時見の箱からチカラを引き出し自らを魔物に変化させた姿。人間を超えた異能を発揮する。,なぜ時渡りのチカラによって人が怪物化するのか？ そこにこの謎の能力の正体を解明する糸口があるのかも知れない。,1067.webp
1068,魔獣ネロスゴーグ,,,突然 グランゼドーラ上空より勇者の橋に出現した謎の魔獣。終焉の繭との関係もその正体も 謎に包まれている。,叡智の冠が チカラ尽きたとき四重の封空は 破られ魔獣ネロスゴーグは ふたたび虚空より 現れるだろう。,1068.webp
1069,猛将ギーグハンマー,,,魔軍十二将 滅殺隊長として不死の魔王に仕え古グランゼドーラ城下町を配下とともに 襲撃した。,ある魔軍十二将の 入れ知恵で勇者と盟友が 留守と知りグランゼドーラ王国を襲撃したらしい。,1069.webp
1070,知将ジャミラス,,,魔軍十二将 参謀総長として不死の魔王ネロドスに仕え禁忌の秘術を 葬り去るため人間に化け 城に潜入した。,盟友カミルの名誉を けがし禁忌の秘術を 葬り去るという企みは おさなき姫君の勇気によって 打ち砕かれた。,1070.webp
